video,split,min_duration_s,n_sentences,est_survivors_30fps
Normal_Videos559_x264,Test,661.0,14,2082
Normal_Videos225_x264,Train,660.0,35,2079
Normal_Videos089_x264,Train,655.0,44,2063
Normal_Videos091_x264,Train,645.0,82,2031
Stealing077_x264,Train,639.0,39,2012
Normal_Videos557_x264,Test,613.1,21,1931
Normal_Videos035_x264,Train,613.0,28,1930
Stealing086_x264,Test,604.0,55,1902
RoadAccidents148_x264,Val,602.0,20,1896
Normal_Videos855_x264,Val,601.2,36,1893
Normal_Videos854_x264,Val,600.9,39,1892
Normal_Videos684_x264,Val,600.3,40,1890
Normal_Videos245_x264,Train,600.0,17,1890
Normal_Videos856_x264,Val,597.1,33,1880
Normal_Videos475_x264,Train,581.2,36,1830
Normal_Videos448_x264,Train,571.5,32,1800
Normal_Videos560_x264,Test,567.1,20,1786
Abuse004_x264,Train,559.8,64,1763
Fighting004_x264,Train,559.0,32,1760
Normal_Videos796_x264,Val,558.0,20,1757
Normal_Videos061_x264,Train,544.2,28,1714
Explosion007_x264,Test,542.9,11,1710
Normal_Videos332_x264,Train,541.1,9,1704
Arrest012_x264,Train,538.2,11,1695
Arrest039_x264,Train,525.0,15,1653
Normal_Videos691_x264,Val,523.2,32,1648
Normal_Videos579_x264,Test,522.3,10,1645
Assault010_x264,Train,520.3,10,1638
Burglary075_x264,Test,516.9,9,1628
Stealing100_x264,Val,511.0,39,1609
Normal_Videos564_x264,Test,509.0,21,1603
Stealing084_x264,Test,506.9,31,1596
Robbery014_x264,Train,502.6,34,1583
Normal_Videos212_x264,Train,501.0,6,1578
Normal_Videos226_x264,Train,484.1,22,1524
Shoplifting044_x264,Val,482.4,26,1519
Abuse039_x264,Test,471.0,35,1483
Burglary079_x264,Test,458.6,17,1444
Normal_Videos536_x264,Test,456.2,14,1437
Normal_Videos795_x264,Val,442.0,30,1392
Normal_Videos447_x264,Train,437.1,25,1376
Robbery026_x264,Train,434.9,20,1369
Fighting008_x264,Train,434.0,24,1367
Burglary076_x264,Test,430.5,15,1356
Stealing089_x264,Test,429.6,13,1353
Stealing088_x264,Test,428.0,13,1348
Normal_Videos377_x264,Train,425.7,16,1340
Stealing053_x264,Train,423.4,10,1333
Vandalism008_x264,Train,419.0,35,1319
Vandalism011_x264,Train,414.5,20,1305
Shoplifting041_x264,Test,411.2,28,1295
Normal_Videos141_x264,Train,409.2,10,1288
Normal_Videos553_x264,Test,404.2,20,1273
Normal_Videos491_x264,Train,401.0,10,1263
Normal_Videos632_x264,Test,400.2,9,1260
Normal_Videos130_x264,Train,400.0,20,1260
RoadAccidents014_x264,Train,396.0,15,1247
Arrest049_x264,Test,393.3,21,1238
Robbery098_x264,Test,392.6,22,1236
Normal_Videos665_x264,Val,389.0,18,1225
Arrest034_x264,Train,387.3,16,1219
Normal_Videos172_x264,Train,385.0,31,1212
Normal_Videos602_x264,Test,383.0,10,1206
Burglary058_x264,Train,380.8,17,1199
Normal_Videos214_x264,Train,375.0,29,1181
Normal_Videos623_x264,Test,368.5,21,1160
Shoplifting034_x264,Test,367.3,36,1156
Burglary045_x264,Train,365.3,22,1150
Normal_Videos420_x264,Train,364.0,22,1146
Arrest051_x264,Test,360.0,21,1134
Shoplifting003_x264,Train,359.9,26,1133
Arrest043_x264,Test,359.9,14,1133
Stealing072_x264,Train,355.8,11,1120
Stealing063_x264,Train,355.1,9,1118
Arrest016_x264,Train,352.8,12,1111
Burglary062_x264,Train,350.2,19,1103
Normal_Videos463_x264,Train,345.9,14,1089
Stealing092_x264,Test,342.7,12,1079
Normal_Videos524_x264,Train,334.2,13,1052
Normal_Videos177_x264,Train,332.1,17,1046
Burglary023_x264,Train,331.2,16,1043
Fighting015_x264,Train,330.7,18,1041
Burglary052_x264,Train,330.4,17,1040
Arson015_x264,Train,330.3,16,1040
Normal_Videos574_x264,Test,328.0,12,1033
Burglary032_x264,Train,325.4,22,1025
Normal_Videos028_x264,Train,320.0,25,1008
Robbery124_x264,Val,316.5,20,996
Burglary065_x264,Test,312.2,13,983
Normal_Videos720_x264,Val,310.0,14,976
Stealing045_x264,Train,309.2,3,973
Burglary039_x264,Train,309.0,14,973
Robbery055_x264,Train,307.5,14,968
Burglary049_x264,Train,307.3,17,967
Normal_Videos185_x264,Train,306.1,4,964
Normal_Videos591_x264,Test,301.0,33,948
Normal_Videos274_x264,Train,300.1,15,945
Normal_Videos481_x264,Train,300.0,14,945
Normal_Videos339_x264,Train,300.0,16,945
